epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,1188.1,0.34776,0.06108,0.0264,0.23817,0.84595,0.99983,1,0.995,0.95228,0.99983,1,0.995,0.995,0.31628,0.01894,0.0035,0.17158,0.77887,0.0011288,0.0011288,0.0011288
90,1201.51,0.34591,0.06002,0.02654,0.23336,0.84375,0.99982,1,0.995,0.95212,0.99982,1,0.995,0.995,0.31128,0.02023,0.00591,0.17325,0.7758,0.0011189,0.0011189,0.0011189
91,1214.96,0.34623,0.05389,0.02687,0.23561,0.84837,0.99983,1,0.995,0.95906,0.99983,1,0.995,0.995,0.31156,0.01845,0.0029,0.17064,0.77545,0.001109,0.001109,0.001109
92,1228.2,0.34953,0.05471,0.02718,0.23637,0.84429,0.99981,1,0.995,0.95039,0.99981,1,0.995,0.995,0.32297,0.01807,0.01098,0.17297,0.78084,0.0010991,0.0010991,0.0010991
93,1241.56,0.34885,0.05628,0.02742,0.23815,0.84605,0.99971,1,0.995,0.95015,0.99971,1,0.995,0.995,0.32003,0.01872,0.00954,0.17257,0.77925,0.0010892,0.0010892,0.0010892
94,1254.99,0.35044,0.05595,0.02714,0.2364,0.84597,0.99978,1,0.995,0.94295,0.99978,1,0.995,0.995,0.32619,0.01789,0.00947,0.18009,0.78124,0.0010793,0.0010793,0.0010793
95,1268.12,0.34204,0.06776,0.02701,0.23492,0.84484,0.99979,1,0.995,0.95922,0.99979,1,0.995,0.99493,0.31169,0.01868,0.00807,0.17051,0.77718,0.0010694,0.0010694,0.0010694
96,1281.6,0.35023,0.07104,0.0315,0.23417,0.84597,0.99978,1,0.995,0.9487,0.99978,1,0.995,0.995,0.3182,0.02026,0.00581,0.17671,0.77933,0.0010595,0.0010595,0.0010595
97,1295.11,0.34768,0.04985,0.02664,0.23302,0.84351,0.99981,1,0.995,0.94609,0.99981,1,0.995,0.99494,0.3151,0.0188,0.00759,0.17627,0.78088,0.0010496,0.0010496,0.0010496
98,1308.35,0.35178,0.06463,0.02712,0.23269,0.84769,0.99833,1,0.995,0.94588,0.99833,1,0.995,0.99497,0.32158,0.0198,0.00332,0.17547,0.78076,0.0010397,0.0010397,0.0010397
99,1321.69,0.33785,0.05191,0.0272,0.22562,0.84323,0.99983,1,0.995,0.9537,0.99983,1,0.995,0.995,0.31876,0.01775,0.00885,0.17048,0.77689,0.0010298,0.0010298,0.0010298
100,1335.2,0.34126,0.06633,0.02765,0.23267,0.84687,0.99982,1,0.995,0.95257,0.99982,1,0.995,0.99489,0.31729,0.02329,0.00416,0.17531,0.77585,0.0010199,0.0010199,0.0010199
101,1348.46,0.34634,0.06322,0.02825,0.2364,0.84526,0.99979,1,0.995,0.95816,0.99979,1,0.995,0.995,0.31157,0.01885,0.00704,0.16794,0.77765,0.00101,0.00101,0.00101
102,1361.81,0.34695,0.06789,0.02504,0.23109,0.84599,0.99978,1,0.995,0.95282,0.99978,1,0.995,0.995,0.31585,0.01913,0.00563,0.17235,0.77883,0.0010001,0.0010001,0.0010001
103,1375.38,0.33834,0.05087,0.02621,0.22639,0.84177,0.99982,1,0.995,0.95344,0.99982,1,0.995,0.995,0.32109,0.01832,0.00773,0.17313,0.77812,0.0009902,0.0009902,0.0009902
104,1388.54,0.33673,0.05269,0.025,0.23048,0.84644,0.99983,1,0.995,0.94627,0.99983,1,0.995,0.995,0.3281,0.01748,0.01271,0.17354,0.78195,0.0009803,0.0009803,0.0009803
105,1401.79,0.33698,0.0505,0.02704,0.22697,0.84849,0.99979,1,0.995,0.95191,0.99979,1,0.995,0.995,0.31208,0.01692,0.00804,0.1669,0.77666,0.0009704,0.0009704,0.0009704
106,1415.18,0.34096,0.04363,0.02455,0.22837,0.84488,0.99976,1,0.995,0.94993,0.99976,1,0.995,0.995,0.31459,0.01575,0.00717,0.16795,0.7775,0.0009605,0.0009605,0.0009605
107,1428.55,0.33099,0.04904,0.02376,0.22206,0.83967,0.99973,1,0.995,0.95713,0.99973,1,0.995,0.995,0.31014,0.016,0.01208,0.16366,0.77639,0.0009506,0.0009506,0.0009506
108,1441.87,0.33974,0.05095,0.02194,0.22385,0.84597,0.99974,1,0.995,0.95302,0.99974,1,0.995,0.99473,0.32062,0.01693,0.00294,0.16714,0.78196,0.0009407,0.0009407,0.0009407
109,1455.41,0.33679,0.05096,0.02446,0.22977,0.8438,0.99979,1,0.995,0.95401,0.99979,1,0.995,0.995,0.30988,0.01666,0.00391,0.16798,0.77836,0.0009308,0.0009308,0.0009308
110,1468.65,0.33086,0.04205,0.0223,0.22313,0.8385,0.99982,1,0.995,0.95067,0.99982,1,0.995,0.995,0.31566,0.01544,0.00367,0.17146,0.77657,0.0009209,0.0009209,0.0009209
111,1481.92,0.33037,0.0484,0.02697,0.22293,0.84025,0.99972,1,0.995,0.95246,0.99972,1,0.995,0.995,0.30851,0.01756,0.01162,0.16271,0.77449,0.000911,0.000911,0.000911
112,1495.58,0.33496,0.04053,0.02201,0.22994,0.84257,0.9998,1,0.995,0.95588,0.9998,1,0.995,0.995,0.30672,0.01569,0.0034,0.16978,0.77602,0.0009011,0.0009011,0.0009011
113,1508.8,0.32997,0.04307,0.02329,0.22352,0.84224,0.99983,1,0.995,0.9534,0.99983,1,0.995,0.995,0.31166,0.01533,0.00395,0.16461,0.777,0.0008912,0.0008912,0.0008912
114,1522.05,0.3331,0.04746,0.02182,0.22757,0.83919,0.99982,1,0.995,0.94933,0.99982,1,0.995,0.995,0.31918,0.01629,0.00895,0.16944,0.77714,0.0008813,0.0008813,0.0008813
115,1535.63,0.33467,0.04735,0.02208,0.22302,0.84634,0.99983,1,0.995,0.95621,0.99983,1,0.995,0.995,0.30964,0.01585,0.00567,0.16677,0.77564,0.0008714,0.0008714,0.0008714
116,1548.86,0.33271,0.04105,0.02252,0.2261,0.84249,0.99984,1,0.995,0.9538,0.99984,1,0.995,0.995,0.31022,0.01603,0.00628,0.16265,0.77586,0.0008615,0.0008615,0.0008615
117,1562.14,0.33135,0.05074,0.02158,0.22211,0.84251,0.99981,1,0.995,0.9519,0.99981,1,0.995,0.995,0.31468,0.01618,0.00688,0.16464,0.77972,0.0008516,0.0008516,0.0008516
118,1575.75,0.3274,0.04665,0.02136,0.22259,0.83946,0.99984,1,0.995,0.95652,0.99984,1,0.995,0.995,0.30716,0.01592,0.00329,0.1628,0.77665,0.0008417,0.0008417,0.0008417
119,1589.03,0.32703,0.04757,0.02224,0.22171,0.83849,0.99985,1,0.995,0.95798,0.99985,1,0.995,0.995,0.31239,0.01464,0.01216,0.16359,0.77619,0.0008318,0.0008318,0.0008318
120,1602.24,0.33212,0.04738,0.02228,0.22428,0.84502,0.99983,1,0.995,0.95872,0.99983,1,0.995,0.995,0.30821,0.01712,0.00325,0.16467,0.77705,0.0008219,0.0008219,0.0008219
121,1615.88,0.32774,0.04672,0.02203,0.22347,0.84393,0.99981,1,0.995,0.95642,0.99981,1,0.995,0.995,0.30781,0.01783,0.00722,0.1631,0.77556,0.000812,0.000812,0.000812
122,1629.18,0.32378,0.04253,0.02047,0.21646,0.83841,0.99979,1,0.995,0.95332,0.99979,1,0.995,0.995,0.30675,0.01706,0.00993,0.16854,0.77412,0.0008021,0.0008021,0.0008021
123,1642.38,0.32926,0.04795,0.02126,0.22131,0.84211,0.99984,1,0.995,0.9566,0.99984,1,0.995,0.995,0.31014,0.01512,0.00416,0.16376,0.77432,0.0007922,0.0007922,0.0007922
