epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1709.84,0.41892,0.73402,0.263,0.83428,0.99941,1,0.995,0.94777,0.99941,1,0.995,0.65683,0.35342,0.65033,0.20861,0.81034,0.0006734,0.0006734,0.0006734
69,1735.42,0.43089,0.73083,0.26512,0.83286,0.99905,1,0.995,0.9498,0.99905,1,0.995,0.67204,0.34725,0.63919,0.19219,0.81091,0.0006536,0.0006536,0.0006536
70,1760.41,0.42112,0.73229,0.261,0.82802,0.99813,1,0.995,0.95953,0.99813,1,0.995,0.68568,0.34647,0.63792,0.20259,0.80928,0.0006338,0.0006338,0.0006338
71,1785.8,0.42297,0.73535,0.26342,0.82681,0.99903,1,0.995,0.94166,0.99903,1,0.995,0.63746,0.36342,0.63461,0.20831,0.80969,0.000614,0.000614,0.000614
72,1810.98,0.42512,0.73968,0.26157,0.83528,0.99919,1,0.995,0.9491,0.99919,1,0.995,0.6726,0.3617,0.63566,0.20673,0.81307,0.0005942,0.0005942,0.0005942
73,1835.98,0.42276,0.7282,0.26296,0.82962,0.99967,1,0.995,0.95138,0.99967,1,0.995,0.64232,0.34187,0.63641,0.20181,0.80981,0.0005744,0.0005744,0.0005744
74,1861.56,0.4172,0.71666,0.25939,0.8253,0.99941,1,0.995,0.95128,0.99941,1,0.995,0.67288,0.341,0.63534,0.19212,0.80897,0.0005546,0.0005546,0.0005546
75,1886.88,0.41081,0.71407,0.25315,0.82981,1,0.99988,0.995,0.94852,1,0.99988,0.995,0.6886,0.3309,0.64794,0.19022,0.80842,0.0005348,0.0005348,0.0005348
76,1912.02,0.40742,0.7145,0.25399,0.8309,1,0.9984,0.995,0.94878,1,0.9984,0.995,0.68514,0.34405,0.63927,0.19462,0.8113,0.000515,0.000515,0.000515
77,1937.23,0.40549,0.74569,0.25611,0.82403,0.99932,1,0.995,0.95254,0.99932,1,0.995,0.68756,0.34056,0.63259,0.19379,0.81205,0.0004952,0.0004952,0.0004952
78,1962.54,0.40731,0.73646,0.24546,0.8281,0.99889,1,0.995,0.94648,0.99889,1,0.995,0.6692,0.34786,0.62868,0.19995,0.80814,0.0004754,0.0004754,0.0004754
79,1987.7,0.40323,0.71012,0.24552,0.82831,0.99787,1,0.995,0.95425,0.99787,1,0.995,0.70497,0.33259,0.62315,0.18846,0.808,0.0004556,0.0004556,0.0004556
80,2013.3,0.4056,0.73058,0.2479,0.81813,0.98697,1,0.995,0.9552,0.98697,1,0.995,0.68338,0.34068,0.61795,0.18862,0.8102,0.0004358,0.0004358,0.0004358
81,2038.33,0.3892,0.70588,0.23989,0.82598,0.99737,1,0.995,0.95251,0.99737,1,0.995,0.6759,0.32816,0.62482,0.18287,0.8083,0.000416,0.000416,0.000416
82,2063.51,0.39526,0.72211,0.24141,0.82511,0.9993,1,0.995,0.95119,0.9993,1,0.995,0.66635,0.32465,0.62528,0.18359,0.8067,0.0003962,0.0003962,0.0003962
83,2088.7,0.39274,0.71536,0.23737,0.8218,0.99927,1,0.995,0.95076,0.99927,1,0.995,0.66533,0.33277,0.62443,0.18466,0.80705,0.0003764,0.0003764,0.0003764
84,2113.74,0.40346,0.70333,0.2465,0.83006,1,0.99859,0.995,0.95543,1,0.99859,0.995,0.67029,0.32852,0.62661,0.18313,0.80768,0.0003566,0.0003566,0.0003566
85,2138.88,0.38498,0.69523,0.23858,0.82352,0.99661,1,0.995,0.95781,0.99661,1,0.995,0.65484,0.32417,0.62604,0.17988,0.80607,0.0003368,0.0003368,0.0003368
86,2164.24,0.40132,0.71636,0.23988,0.82752,0.993,1,0.995,0.95883,0.993,1,0.995,0.64761,0.32474,0.61778,0.18565,0.80571,0.000317,0.000317,0.000317
87,2189.68,0.38336,0.70057,0.23973,0.82676,1,0.99913,0.995,0.96098,1,0.99913,0.995,0.66432,0.31758,0.61379,0.16918,0.80524,0.0002972,0.0002972,0.0002972
88,2215.28,0.37818,0.70039,0.2329,0.82364,0.99986,1,0.995,0.96292,0.99986,1,0.995,0.6638,0.30802,0.62621,0.17295,0.80504,0.0002774,0.0002774,0.0002774
89,2240.27,0.37858,0.69524,0.23098,0.81752,1,0.997,0.995,0.9618,1,0.997,0.995,0.65924,0.31595,0.61215,0.17741,0.8053,0.0002576,0.0002576,0.0002576
90,2265.43,0.37454,0.69627,0.2284,0.82291,0.99923,1,0.995,0.95752,0.99923,1,0.995,0.66362,0.31347,0.62092,0.17168,0.80626,0.0002378,0.0002378,0.0002378
91,2291.37,0.33523,0.67259,0.20487,0.80138,0.99901,1,0.995,0.95561,0.99901,1,0.995,0.67467,0.31479,0.61759,0.16998,0.80643,0.000218,0.000218,0.000218
92,2316.03,0.33631,0.65402,0.2034,0.80149,0.99947,1,0.995,0.9559,0.99947,1,0.995,0.68164,0.31671,0.61153,0.17005,0.80739,0.0001982,0.0001982,0.0001982
93,2340.92,0.3297,0.64371,0.19579,0.80359,1,0.9967,0.995,0.96297,1,0.9967,0.995,0.67655,0.31047,0.60954,0.16977,0.80514,0.0001784,0.0001784,0.0001784
94,2365.64,0.32115,0.64768,0.19225,0.79832,0.99902,1,0.995,0.95516,0.99902,1,0.995,0.65331,0.32701,0.60873,0.16759,0.80606,0.0001586,0.0001586,0.0001586
95,2390.59,0.32308,0.64062,0.19176,0.79589,0.99872,1,0.995,0.95676,0.99872,1,0.995,0.6526,0.32597,0.60409,0.17121,0.8061,0.0001388,0.0001388,0.0001388
96,2415.39,0.3209,0.64809,0.18848,0.79247,0.99903,1,0.995,0.9628,0.99903,1,0.995,0.679,0.31066,0.60191,0.16098,0.8048,0.000119,0.000119,0.000119
97,2440.15,0.3166,0.64172,0.188,0.79392,0.99883,1,0.995,0.96132,0.99883,1,0.995,0.69251,0.31137,0.60465,0.16222,0.80502,9.92e-05,9.92e-05,9.92e-05
98,2464.77,0.31356,0.65041,0.18891,0.79405,0.99914,1,0.995,0.96542,0.99914,1,0.995,0.66896,0.31472,0.60252,0.1643,0.80529,7.94e-05,7.94e-05,7.94e-05
99,2489.6,0.30775,0.62973,0.18255,0.79589,0.99932,1,0.995,0.96302,0.99932,1,0.995,0.67486,0.30492,0.59959,0.1606,0.80498,5.96e-05,5.96e-05,5.96e-05
100,2514.56,0.3035,0.63321,0.18184,0.79138,0.99933,1,0.995,0.96481,0.99933,1,0.995,0.68467,0.3114,0.59932,0.15683,0.80471,3.98e-05,3.98e-05,3.98e-05
